Neighborhood,RentPrice
Bayview Hunters Point,2800
Bernal Heights,3100
Castro/Upper Market,3400
Chinatown,3300
Excelsior,2250
Financial District/South Beach,3550
Glen Park,2950
Inner Richmond,2550
Haight Ashbury,3100
Hayes Valley,3690
Inner Sunset,2740
Japantown,2550
Tenderloin,2500
Lakeshore,2700
Lone Mountain/USF,2700
Marina,3470
Russian Hill,3400
Mission,3500
Mission Bay,3750
Nob Hill,3200
Seacliff,3000
Noe Valley,3100
North Beach,3200
Oceanview/Merced/Ingleside,2300
South Of Market,3650
Sunset/Parkside,2600
Outer Mission,2250
Outer Richmond,2500
Pacific Heights,3700
Portola,2300
Potrero Hill,3350
Presidio,3300
Presidio Heights,3200
Twin Peaks,2900
Visitacion Valley,2500
West of Twin Peaks,2900
Western Addition,3300